IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.217.127.73,2086,2086,false,HKG,Asia Pacific,Hong Kong,38,6.86
47.242.183.7,2087,2087,true,HKG,Asia Pacific,Hong Kong,36,6.83
47.243.234.9,2087,2087,true,HKG,Asia Pacific,Hong Kong,43,6.83
47.243.60.150,2096,2096,true,HKG,Asia Pacific,Hong Kong,34,6.82
47.243.42.219,2096,2096,true,HKG,Asia Pacific,Hong Kong,40,6.81
8.217.49.34,2095,2095,false,HKG,Asia Pacific,Hong Kong,37,6.80
47.242.171.94,2087,2087,true,HKG,Asia Pacific,Hong Kong,40,6.72
47.242.155.183,2052,2052,false,HKG,Asia Pacific,Hong Kong,37,6.71
47.242.183.7,80,80,false,HKG,Asia Pacific,Hong Kong,36,6.67
8.218.173.78,2053,2053,true,HKG,Asia Pacific,Hong Kong,39,6.64
8.218.48.92,80,80,false,HKG,Asia Pacific,Hong Kong,39,6.62
8.210.39.96,2052,2052,false,HKG,Asia Pacific,Hong Kong,40,6.61
8.217.127.73,8443,8443,true,HKG,Asia Pacific,Hong Kong,35,6.60
8.218.8.142,8080,8080,false,HKG,Asia Pacific,Hong Kong,43,6.59
8.218.243.95,2095,2095,false,HKG,Asia Pacific,Hong Kong,45,6.59
8.210.39.96,2095,2095,false,HKG,Asia Pacific,Hong Kong,38,6.58
8.218.143.10,2083,2083,true,HKG,Asia Pacific,Hong Kong,44,6.58
47.76.178.146,8443,8443,true,HKG,Asia Pacific,Hong Kong,40,6.56
47.242.176.237,2086,2086,false,HKG,Asia Pacific,Hong Kong,39,6.54
8.210.156.6,2095,2095,false,HKG,Asia Pacific,Hong Kong,39,6.54
8.210.34.188,2096,2096,true,HKG,Asia Pacific,Hong Kong,36,6.53
8.218.52.115,80,80,false,HKG,Asia Pacific,Hong Kong,49,6.51
8.218.98.75,8443,8443,true,HKG,Asia Pacific,Hong Kong,34,6.51
8.218.52.115,2095,2095,false,HKG,Asia Pacific,Hong Kong,38,6.50
8.218.207.169,2086,2086,false,HKG,Asia Pacific,Hong Kong,45,6.46
47.242.157.96,2053,2053,true,HKG,Asia Pacific,Hong Kong,48,6.43
8.218.3.12,2052,2052,false,HKG,Asia Pacific,Hong Kong,36,6.42
47.243.91.58,2052,2052,false,HKG,Asia Pacific,Hong Kong,40,6.41
47.76.33.40,2052,2052,false,HKG,Asia Pacific,Hong Kong,41,6.40
8.218.207.169,80,80,false,HKG,Asia Pacific,Hong Kong,43,6.39
8.217.159.210,8080,8080,false,HKG,Asia Pacific,Hong Kong,32,6.39
8.217.149.28,2095,2095,false,HKG,Asia Pacific,Hong Kong,46,6.39
47.243.169.63,80,80,false,HKG,Asia Pacific,Hong Kong,43,6.37
47.242.176.237,2095,2095,false,HKG,Asia Pacific,Hong Kong,43,6.35
8.218.173.78,2083,2083,true,HKG,Asia Pacific,Hong Kong,45,6.34
8.218.2.181,8080,8080,false,HKG,Asia Pacific,Hong Kong,34,6.33
8.210.63.130,2083,2083,true,HKG,Asia Pacific,Hong Kong,37,6.32
47.243.139.85,2086,2086,false,HKG,Asia Pacific,Hong Kong,37,6.31
8.218.181.189,8080,8080,false,HKG,Asia Pacific,Hong Kong,40,6.28
8.218.142.253,8080,8080,false,HKG,Asia Pacific,Hong Kong,37,6.24
8.217.239.116,8080,8080,false,HKG,Asia Pacific,Hong Kong,42,6.23
8.218.142.253,2082,2082,false,HKG,Asia Pacific,Hong Kong,36,6.23
47.243.42.219,2052,2052,false,HKG,Asia Pacific,Hong Kong,39,6.23
47.76.178.146,2087,2087,true,HKG,Asia Pacific,Hong Kong,36,6.17
8.210.3.24,8880,8880,false,HKG,Asia Pacific,Hong Kong,43,6.14
8.217.147.230,2052,2052,false,HKG,Asia Pacific,Hong Kong,40,6.13
8.218.85.128,2052,2052,false,HKG,Asia Pacific,Hong Kong,43,6.11
47.243.243.14,2096,2096,true,HKG,Asia Pacific,Hong Kong,38,6.06
47.242.79.71,2087,2087,true,HKG,Asia Pacific,Hong Kong,39,6.06
8.218.74.119,2095,2095,false,HKG,Asia Pacific,Hong Kong,34,6.04
47.242.174.27,8443,8443,true,HKG,Asia Pacific,Hong Kong,40,6.04
47.242.157.96,2087,2087,true,HKG,Asia Pacific,Hong Kong,47,6.03
47.242.252.237,2095,2095,false,HKG,Asia Pacific,Hong Kong,49,6.02
8.218.146.204,8880,8880,false,HKG,Asia Pacific,Hong Kong,35,6.00
47.242.171.94,2052,2052,false,HKG,Asia Pacific,Hong Kong,42,5.99
8.217.66.3,2053,2053,true,HKG,Asia Pacific,Hong Kong,44,5.98
8.210.174.156,2087,2087,true,HKG,Asia Pacific,Hong Kong,34,5.98
47.76.192.24,2052,2052,false,HKG,Asia Pacific,Hong Kong,39,5.96
47.243.139.85,8443,8443,true,HKG,Asia Pacific,Hong Kong,40,5.94
8.218.8.142,2086,2086,false,HKG,Asia Pacific,Hong Kong,46,5.94
8.210.63.130,2087,2087,true,HKG,Asia Pacific,Hong Kong,49,5.94
47.76.222.57,2087,2087,true,HKG,Asia Pacific,Hong Kong,41,5.91
8.217.145.40,2086,2086,false,HKG,Asia Pacific,Hong Kong,34,5.84
8.217.121.207,8880,8880,false,HKG,Asia Pacific,Hong Kong,42,5.83
47.243.27.217,2053,2053,true,HKG,Asia Pacific,Hong Kong,47,5.83
47.243.234.9,2086,2086,false,HKG,Asia Pacific,Hong Kong,35,5.81
8.217.250.5,80,80,false,HKG,Asia Pacific,Hong Kong,39,5.80
8.218.22.210,2086,2086,false,HKG,Asia Pacific,Hong Kong,35,5.80
8.217.248.220,2052,2052,false,HKG,Asia Pacific,Hong Kong,36,5.78
47.242.54.157,8080,8080,false,HKG,Asia Pacific,Hong Kong,49,5.78
47.76.204.76,2052,2052,false,HKG,Asia Pacific,Hong Kong,39,5.76
154.204.56.238,34237,2096,true,HKG,Asia Pacific,Hong Kong,87,5.74
47.243.60.150,2083,2083,true,HKG,Asia Pacific,Hong Kong,40,5.72
47.243.91.58,2086,2086,false,HKG,Asia Pacific,Hong Kong,37,5.71
8.210.9.129,2095,2095,false,HKG,Asia Pacific,Hong Kong,43,5.71
47.243.206.150,2096,2096,true,HKG,Asia Pacific,Hong Kong,45,5.69
8.210.34.188,2086,2086,false,HKG,Asia Pacific,Hong Kong,38,5.63
8.210.65.1,2083,2083,true,HKG,Asia Pacific,Hong Kong,34,5.59
47.238.40.58,2096,2096,true,HKG,Asia Pacific,Hong Kong,42,5.59
47.243.169.63,2083,2083,true,HKG,Asia Pacific,Hong Kong,32,5.57
8.217.248.220,2083,2083,true,HKG,Asia Pacific,Hong Kong,34,5.55
47.242.155.183,80,80,false,HKG,Asia Pacific,Hong Kong,39,5.54
47.243.186.171,2083,2083,true,HKG,Asia Pacific,Hong Kong,40,5.50
47.243.234.9,2096,2096,true,HKG,Asia Pacific,Hong Kong,48,5.49
47.243.70.186,2087,2087,true,HKG,Asia Pacific,Hong Kong,50,5.48
47.243.86.79,8080,8080,false,HKG,Asia Pacific,Hong Kong,39,5.47
47.243.139.243,2082,2082,false,HKG,Asia Pacific,Hong Kong,34,5.43
8.217.85.14,80,80,false,HKG,Asia Pacific,Hong Kong,41,5.41
8.218.146.204,2095,2095,false,HKG,Asia Pacific,Hong Kong,45,5.39
8.210.34.188,2083,2083,true,HKG,Asia Pacific,Hong Kong,36,5.38
8.210.107.246,8080,8080,false,HKG,Asia Pacific,Hong Kong,40,5.37
8.218.146.204,80,80,false,HKG,Asia Pacific,Hong Kong,39,5.32
8.217.145.40,2052,2052,false,HKG,Asia Pacific,Hong Kong,40,5.28
8.218.8.142,2082,2082,false,HKG,Asia Pacific,Hong Kong,40,5.26
47.243.139.243,2095,2095,false,HKG,Asia Pacific,Hong Kong,38,5.26
47.76.146.1,80,80,false,HKG,Asia Pacific,Hong Kong,43,5.22
47.242.252.237,2052,2052,false,HKG,Asia Pacific,Hong Kong,41,5.21
47.242.174.27,2087,2087,true,HKG,Asia Pacific,Hong Kong,43,5.18
8.217.85.14,2082,2082,false,HKG,Asia Pacific,Hong Kong,49,5.17
47.243.203.119,2083,2083,true,HKG,Asia Pacific,Hong Kong,44,5.13
47.76.203.101,2096,2096,true,HKG,Asia Pacific,Hong Kong,33,5.12
8.217.147.230,80,80,false,HKG,Asia Pacific,Hong Kong,43,5.10
8.218.243.95,8080,8080,false,HKG,Asia Pacific,Hong Kong,41,5.09
8.217.250.222,2096,2096,true,HKG,Asia Pacific,Hong Kong,35,5.08
8.217.85.14,2052,2052,false,HKG,Asia Pacific,Hong Kong,41,5.05
8.218.74.119,8443,8443,true,HKG,Asia Pacific,Hong Kong,43,5.04
8.218.3.12,2082,2082,false,HKG,Asia Pacific,Hong Kong,38,5.03
8.218.122.55,8880,8880,false,HKG,Asia Pacific,Hong Kong,46,5.01
8.217.232.246,2053,2053,true,HKG,Asia Pacific,Hong Kong,37,4.98
8.210.174.156,80,80,false,HKG,Asia Pacific,Hong Kong,46,4.97
8.210.192.93,8080,8080,false,HKG,Asia Pacific,Hong Kong,40,4.96
47.243.139.85,2052,2052,false,HKG,Asia Pacific,Hong Kong,44,4.91
8.210.21.65,8080,8080,false,HKG,Asia Pacific,Hong Kong,37,4.90
8.217.193.25,2095,2095,false,HKG,Asia Pacific,Hong Kong,41,4.86
8.217.232.246,2082,2082,false,HKG,Asia Pacific,Hong Kong,39,4.86
47.243.203.119,2096,2096,true,HKG,Asia Pacific,Hong Kong,40,4.83
47.243.234.9,2083,2083,true,HKG,Asia Pacific,Hong Kong,40,4.83
47.243.183.127,2087,2087,true,HKG,Asia Pacific,Hong Kong,43,4.82
